Owner,Recipe,Description,Ingredients,Steps,Category,Flavor Profile,Nutrition Labels,Prep (min),Cook (min),Servings,Difficulty,Estimated Cost,Tags,Meal Type,Mood,Ratings
,Broccoli Stir Fry with Ginger and Sesame,"Ang Broccoli Stir Fry with Ginger and Sesame ay isang masustansya at masarap na gulay na putahe na may impluwensiya ng Asyano. Ang broccoli ay niluto nang mabilis sa mainit na kawali kasama ang bawang, sariwang luya, at sesame oil na nagbibigay ng malalim at mabangong oriental na lasa. Ang toasted sesame seeds sa ibabaw ay nagdadagdag ng nutty na lasa at karagdagang texture. Ang chicken o vegetable stock ay ginagamit para mapanatili ang halumigmig ng broccoli habang niluluto. Ito ay isang mabilis na lutuin, puno ng sustansya, at perpekto bilang side dish o vegetarian na ulam kasama ng kanin.","1 kutsarang sesame seeds, 1/2 tasang chicken stock o vegetable stock, 1 tasang toyo, 1 tasang sesame oil, olive oil, 1 lb broccoli binanlawan pinatuyo at hiniwa ayon sa kayang lunukin ng tao, 2 cloves garlic tinadtad (mga 1 kutsara), 1 kutsarang tinadtad na sariwang luya","Step 1: Itusta ang sesame seeds sa katamtamang init ng apoy habang hinahalo ng 3 hanggang 5 minuto. Huwag lakasan ang apoy o iwan ang nilulutong sesame seeds dahil Easy itong masunog.

Step 2: Kapag natusta na ang sesame seeds, tanggalin ito sa apoy at ilagay sa maliit na mangkok. Itabi para gamitin sa bandang huli.

Step 3: Ihalo ang stock, toyo, at sesame oil sa isang mangkok para gawing sauce. Itabi.

Step 4: Initin sa katamtamang init ng apoy ang olive oil sa kawali. Idagdag ang broccoli at igisa gamit ang bawang at luya ng 1 minuto hanggang mabango.

Step 5: Idagdag ang chicken o vegetable stock sa kawali at pabayaang kumulo sa mahinang apoy ng 2-3 minuto hanggang medyo lumambot ang broccoli ngunit nananatiling berde at crunchy.

Step 6: Patayin ang apoy at salain ang broccoli. Ilagay sa serving plate at pangibabawan ng toasted sesame seeds bago ihain.",Gulay / Side Dish / Vegetarian,"Maalat, Mabango, Nutty, Oriental",Calories: ~120 kcal | Protein: ~5g | Fat: ~8g | Carbs: ~9g | Sodium: ~360mg,10,15,4,Easy,Low Cost,"Broccoli, Gulay, Healthy, Stir Fry, Vegetarian, Oriental, Masustansya","Tanghalian, Hapunan","Health-conscious, Energized, Clean eating, Disciplined",
,Binatog,Ang Binatog ay isa sa mga pinakasikat at pinaka-nostalgic na meryenda sa Pilipinas na ginagawa mula sa puting mais na binabad sa inasnan na tubig magdamagan. Ang mais ay pinakuluan hanggang malambot at ang natural na tamis nito ay lumalabas habang niluluto. Ang pinaka-espesyal na parte ng binatog ay ang simpleng topping ng ginadgad na niyog at asukal o asin na nagpapasarap at nagpapalambot pa ng lasa. Ito ay isang napakasimple ngunit masustansya at nakakabigang meryenda na madalas ibinebenta ng mga maglalako sa mga kalsada at palengke sa buong Pilipinas.,"
Puting mais na binabad sa asin na may tubig magdamagan, asukal, niyog ginadgad","Step 1: Initin ang kaserola at ibuhos ang puting mais kasama ang pinagbabarang tubig na ginamit sa pagbababad.

Step 2: Pakuluan sa mahinang apoy hanggang maluto at malambot ang mais, mga 45 minuto hanggang 1 oras.

Step 3: Salain ang tubig at isalin ang binatog sa maliit na timba o mangkok.

Step 4: Pangibabawan ng asukal o asin ayon sa gusto at budburan ng ginadgad na niyog bago ihain nang mainit.",Meryenda / Street Food,"Matamis o Maalat, Malambot, Natural na Tamis ng Mais",Calories: ~180 kcal | Protein: ~4g | Fat: ~5g | Carbs: ~30g | Sugar: ~8g,480,60,4,Easy,Low Cost,"Mais, Binatog, Meryenda, Filipino, Street Food, Tradisyonal, Nostalgic",Meryenda,"Nostalgic, Street food happiness, Childhood memory, Simple joy",
,Muffins,"Ang Muffins ay isang masustansya at mas healthy na alternatibo sa cupcakes dahil gumagamit ito ng whole-wheat flour at honey bilang pampatamis. Ang pinagsamang whole-wheat flour at all-purpose flour ay nagbibigay ng mas mabusog at mas nutty na lasa kumpara sa regular na muffins. Ang honey ay nagdadagdag ng natural na tamis at nagpapanatili ng halumigmig ng muffin para mas matagal na malambot. Maaaring magdagdag ng iba't ibang palaman tulad ng raisins, dried cranberries, nuts, o dried fruits para sa mas kumplikado at masarap na lasa. Ito ay perpekto bilang mabilis na almusal o healthy na meryenda.","
1 kutsaritang asin, 1 tasang gatas, 1 binating itlog, 1/2 tasang harina, 1/3 tasang mantika, 1/3 tasang honey, 2 1/2 kutsaritang baking powder, 1 tasang whole-wheat flour, 1 tasang all-purpose flour","Step 1: Initin ang oven ng 400 degrees Fahrenheit bago simulan ang paghahanda ng batter.

Step 2: Ipaghalo ang mga harina, baking powder, at asin sa isang malaking mangkok hanggang pantay na nahalo.

Step 3: Sa isa pang mangkok, batihin ang itlog, gatas, mantika, at honey hanggang maging magkasamang mixture.

Step 4: Idagdag ang basang mixture sa tuyong mixture at haluin nang maigi ngunit huwag sobrang halo. Ilagay ang palaman tulad ng raisins o nuts sa mixture kung mayroon.

Step 5: Punuin ng 2/3 ng mixture ang bawat nalangisang muffin tin para may sapat na espasyo para lumaking pataas ang muffins.

Step 6: I-bake ang muffins ng 20 hanggang 25 minuto o hanggang ginintuang kayumanggi ang tuktok at maluto nang buo ang loob.",Inihurnong Kakanin / Baked Goods,"Matamis, Mabango, Malambot, Masustansya",Calories: ~220 kcal | Protein: ~5g | Fat: ~9g | Carbs: ~30g | Sugar: ~12g,15,25,12,Easy,Medium Cost,"Muffin, Baked, Healthy, Almusal, Meryenda, Whole Wheat, Honey","Almusal, Meryenda","Morning motivation, Health-conscious, Cozy breakfast, Productive mood",
,Uraro Biscuits,"Ang Uraro Biscuits ay isang tradisyonal na Pilipinong biskwit na gawa sa arrowroot flour o uraro flour na nagbibigay ng natatanging magaan at napaka-crispy na texture na hindi mo mahahanap sa ibang uri ng biskwit. Ang arrowroot flour ay isang natural na starch na nagmumula sa ugat ng halaman at nagbibigay ng mas dalisay at mas masustansyang biskwit. Ang pagsasama ng rice flour, butter, at itlog ay nagdadagdag ng pagkakaisa ng lasa at texture. Ito ay isang popular na pasalubong at meryenda mula sa mga probinsya ng Pilipinas at madalas ibinebenta sa mga tiangge at palengke.","8 ounces butter, 8 ounces rice flour, 8 ounces asukal, 6 ounces arrowroot flour, 6 itlog","Step 1: Ibati ang butter sa isang mangkok hanggang lumambot at maging creamy ang texture nito.

Step 2: Ibati ang itlog sa isang hiwalay na mangkok hanggang maging frothy at magaan.

Step 3: Idagdag ang binating itlog sa butter at dahan-dahang ihalo ang mga harina. Haluin ang mixture nang maigi para mapagsamahin ang lahat ng sangkap.

Step 4: Siguraduhing walang lumps mula sa arrowroot. Kung mayroong natitirang lumps, durugin ito at haluing maigi. Idagdag ito kasama ang asukal at iba pang mga sangkap at ihalo nang mabuti.

Step 5: Ihalo ang lahat ng sangkap nang maigi saka kutsarahin ang mga biscuits ayon sa gustong laki. Ilatag ang mga ito sa isang nilangisang baking tin na medyo malayo ang distansiya sa isa't isa para magkaroon ng espasyo habang nagluluto.

Step 6: I-bake ang biscuits ng 15 minuto sa oven hanggang ginintuang kayumanggi. Mga 3 hanggang 4 na dosenang biscuit ang magagawa ng recipeng ito.","
Inihurnong Kakanin / Baked Goods","Matamis, Malutong, Magaan, Buttery",Calories: ~120 kcal | Protein: ~2g | Fat: ~6g | Carbs: ~15g | Sugar: ~8g,20,15,36,Moderate,Medium Cost,"Uraro, Biskwit, Arrowroot, Filipino, Baked, Pasalubong, Tradisyonal",Meryenda,"Nostalgic, Pasalubong happiness, Proud (provincial roots), Cozy",
,Asparagus Salad with Shrimp,"Ang Asparagus Salad with Shrimp ay isang malusog, magaan, at eleganteng salad na perpekto para sa mga naghahanap ng masustansya at mababang calorie na pagkain. Ang asparagus ay pinakuluan nang mabilis para mapanatili ang berde at crunchy na texture nito habang ang hipon ay niluto nang maayos para mapanatili ang tamis at juiciness nito. Ang extra-virgin olive oil, lemon juice, bawang, at sariwang parsley ay bumubuo ng isang simpleng ngunit masarap na dressing na nagpapahusay ng natural na lasa ng asparagus at hipon. Ito ay isang mabilis na ihanda at napaka-presentable na salad na maaaring ihain bilang appetizer o side dish.","1 lb asparagus tinanggal ang matigas na bahagi, 1/2 lb hipon pinakuluan at tinanggalan ng balat, 1/4 tasang extra-virgin olive oil, 1 garlic clove tinadtad, 1 kutsarang lemon juice o calamansi juice, 1 kutsarang tinadtad na sariwang parsley, asin at paminta pampalasa","Step 1: Pakuluan ang tubig na inasinan sa isang kaserola. Idagdag ang asparagus sa kumukulong tubig at hayaang kumulo ng 3 minuto para mapanatili ang crunchy na texture at berdeng kulay nito.

Step 2: Salain ang asparagus at bayaang lumamig sa isang mangkok na may malamig na tubig para mapigilan ang patuloy na pagluluto nito.

Step 3: Muling painitan ang pinakuluang hipon ng 2 hanggang 3 minuto hanggang maluto nang husto. Tanggalin ang hipon sa kaserola at ilagay sa mas malaking mangkok.

Step 4: Hiwain nang pa-diagonal ang mga asparagus para mas maganda ang presentasyon. Tanggalin ang anumang natitirang matigas na dulo.

Step 5: Ilagay ang asparagus sa mangkok kasama ang hipon. Idagdag ang olive oil, bawang, lemon juice, at parsley at ihalo para magsama ang lahat ng sangkap. Dagdagan ng asin at paminta pampalasa. Magdagdag ng lemon o calamansi juice kung gusto ng mas maasim. Ihain agad.",Salad / Side Dish,"Maasim, Sariwa, Maalat, Magaan",Calories: ~180 kcal | Protein: ~16g | Fat: ~10g | Carbs: ~8g | Sodium: ~320mg,15,10,4,Easy,Medium Cost,"Asparagus, Hipon, Salad, Healthy, Sariwa, Masustansya, Vegetable","Tanghalian, Hapunan, Appetizer","Fancy, Light, Health-conscious, Refreshed, Elegant mood",
,Basic Grilled Pizza Dough,Ang Basic Grilled Pizza Dough ay ang pundasyon ng anumang masarap na pizza. Ang tamang paghahanda ng dough ay susi sa perpektong pizza — dapat ito ay malambot sa loob ngunit bahagyang malutong sa labas. Ang active dry yeast ang responsable sa pagpapalaki at pagpapalambot ng dough habang ito ay umaaalsa. Ang extra-virgin olive oil ay nagbibigay ng natatanging lasa at nagpapanatili ng halumigmig ng tinapay. Ang maingat na pagmamasa at pagpapahinga ng dough ay nagbibigay ng pinakamainam na texture. Maaari itong gamitin sa oven o microwave oven kung wala pang tradisyunal na oven.,"1 kutsaritang asukal, 1 packet (1/4 ounce) active dry yeast, 2 kutsaritang extra-virgin olive oil at dagdag pa para sa mangkok at pamahid, rock salt at dinurog na paminta, 2 1/4 tasang all-purpose flour at dagdag pa para sa ibabaw ng mesa","Step 1: Magbuhos ng 1 tasang mainit na tubig sa isang mangkok at magdagdag ng asukal at yeast. Itabi hanggang bumula ng mga 5 minuto. Eto ang yeast mixture mo.

Step 2: Maghalo ng mantika at 1 kutsarang asin sa yeast mixture. Magdagdag ng harina at ihalo nang maigi gamit ang wooden spoon hanggang maging tuyo ang dough.

Step 3: Magwisik ng kaunting harina sa malinis na mesa. Imasa ang dough para i-shape na parang bola. Ilagay sa mixing bowl at bayaang umalsa ng 2 minuto.

Step 4: Isalin sa isang nilangisang mangkok at pahiran ng kaunting oil ang dough. Takpan ang dough ng plastic wrap at itabi hanggang umalsa ang dough.

Step 5: Suntukin ang dough at takpan. Bayaan muling umalsa ang dough ng 30 minuto.

Step 6: Ilagay muli ang dough sa isang malinis na mesang winisikan ng harina. Hatiin sa 4 na bahagi at itabi ng 15 minuto bago gamitin bilang dough para sa pizza.",Inihurnong Kakanin / Baked Goods,"Maalat, Mabango, Malambot-Malutong",Calories: ~180 kcal | Protein: ~5g | Fat: ~4g | Carbs: ~32g | Sodium: ~280mg,60,15,4,Moderate,Low Cost,"Pizza, Dough, Baked, Tinapay, Homemade, Fusion, Negosyo","Tanghalian, Meryenda, Hapunan","Creative, Excited, Fun cooking mood, Family activity",
,Basic Butter Cake,"Ang Basic Butter Cake ay isang klasikong inihurnong cake na paboritong-paborito ng lahat dahil sa simpleng paraan ng paghahanda ngunit napaka-masarap na resulta. Ang mayamang lasa ng butter ang pangunahing bituin ng cake na ito na nagbibigay ng creamy at mabangong aroma sa bawat kagat. Ang tamang kombinasyon ng butter, asukal, itlog, at harina ang nagbibigay ng malambot at basa-basa na texture ng cake. Ang gatas evaporada ay nagdadagdag ng karagdagang creamy na lasa habang ang vanilla ay nagpapabango. Ito ay isang perpektong base cake na maaaring gamitan ng iba't ibang frosting at topping para sa espesyal na okasyon.","1 bar butter, 3/4 tasang asukal, 3 malalaking itlog, 2 kutsaritang baking soda, 1 kutsaritang baking powder, 1 kutsaritang asin, 1/2 kutsaritang vanilla, 1/4 tasang gatas evaporada, 1-1/2 tasang tubig, 4 tasang all-purpose flour","Step 1: Ipaghalo ang unang pitong sangkap — butter, asukal, itlog, baking soda, baking powder, asin, at vanilla — sa isang malaking mixing bowl hanggang mapagsamahin ang lahat.

Step 2: Idagdag ang natitirang sangkap — gatas evaporada, tubig, at harina — at paghaluin nang maigi hanggang maging maayos at walang bukol ang batter.

Step 3: Ibuhos ang batter sa nilangisang baking pan nang pantay-pantay.

Step 4: I-bake sa 350°F na oven ng 20 hanggang 25 minuto o hanggang maluto nang buo ang cake at ginintuang kayumanggi ang tuktok.","
Inihurnong Kakanin / Baked Goods","Matamis, Buttery, Mabango, Malambot",Calories: ~320 kcal | Protein: ~5g | Fat: ~14g | Carbs: ~44g | Sugar: ~20g,15,25,10,Easy,Medium Cost,"Cake, Butter, Baked, Dessert, Espesyal, Negosyo, Pang-okasyon","Meryenda, Dessert","Celebratory, Sweet and loving, Birthday mood, Proud baker",
,Brownies,"Ang Brownies ay isa sa mga pinakasikat na inihurnong tsokolate na kakanin sa buong mundo na kilala sa makapal, basa-basa, at napaka-chocolatey na texture nito. Ang cocoa powder at butter ay pinagsama para makamit ang pinaka-mayamang tsokolate na lasa na nagpapasaya sa bawat kagat. Ang tamang pagbe-bake ng brownies ay napakahalaga — hindi dapat i-overcook para mapanatili ang fudgy at malambot na texture sa loob. Ang cashew nuts o mani ay nagdadagdag ng crunch at nutty na lasa na nagpapaganda ng kabuuang karanasan. Ito ay isang mahusay na produkto para ibenta o regalo sa mga espesyal na okasyon.","4 kutsarang cocoa powder, 6 kutsarang butter, 2 kutsaritang vanilla, 2 binating itlog, 1/4 tasang asukal, 2 kutsarang gatas, 1 tasang all purpose flour, 1/2 kutsaritang baking powder, cashew nuts o mani (optional)","Step 1: Itunaw ang tsokolate at butter sa kaserola habang patuloy na hinahalo sa mahinang apoy. Tanggalin mula sa apoy at idagdag ang itlog, asukal, gatas, at vanilla saka haluing maigi hanggang mapagsamahin ang lahat.

Step 2: Ihalo ang harina at baking powder sa tuyong mangkok saka ibuhos sa chocolate mixture. Ihalo nang maigi ang mixture hanggang maging maayos ang batter.

Step 3: Ibuhos sa baking dish na pinaligiran ng wax paper o sa isang 9x9x2 inch baking pan na nilangisan. I-bake sa 350°F ng 15 minuto.

Step 4: Ikalat ang cashew nuts o mani sa ibabaw at muling i-bake ng 25-30 minuto. Huwag i-overcook — kailangang mamasa-masa nang kaunti ang brownies para mapanatili ang fudgy na texture.

Step 5: Palamigin nang buo at hiwain into bars para sa mas malinis na pagputol. Makakagawa ang recipe na ito ng 10 brownie bars.",Inihurnong Kakanin / Baked Goods,"Matamis, Chocolatey, Basa-basa, Mabango",Calories: ~280 kcal | Protein: ~4g | Fat: ~14g | Carbs: ~36g | Sugar: ~22g,15,45,10,Easy,Medium Cost,"Brownies, Tsokolate, Baked, Dessert, Meryenda, Negosyo, Espesyal","Meryenda, Dessert","Comforted, Sweet craving, Indulgent, Treat yourself, Chocolatey happiness",
,Cassava Cake,"Ang Cassava Cake ay isa sa mga pinakasikat at pinaka-inaabangan na kakanin sa Pilipinas na gawa sa kinayod na kamoteng kahoy na pinagsama sa gata ng niyog, condensed milk, at keso. Ang kamoteng kahoy ay nagbibigay ng natatanging chewy at makapal na texture na hindi mo mahahanap sa ibang cake. Ang dalawang layer ng pagluluto ay nagbibigay ng perpektong resulta — ang batter ay niluto muna sa oven bago ibuhos ang pangalawang batter na topping na nagbibigay ng ginintuang at malagkit na ibabaw. Ang keso sa ibabaw ay nagdadagdag ng maalat na kontra-lasa sa tamis ng cake. Ito ay isa sa mga pinakasikat na produkto para ibenta sa mga kakilala, opisina, at online.","(Batter) 2 packs kinayod na kamoteng kahoy (mga 2 lbs total weight), 1 latang gata ng niyog, 1/2 latang gatas evaporada, 2 pcs. hilaw na itlog, 1/4 tasang butter nilusaw, 6 kutsarang keso ginadgad, 1/2 tasang condensed milk, 4 kutsarang asukal |
(Topping) 1 latang gata ng niyog, 2 kutsarang asukal, 1/2 tasang condensed milk, 2 kutsarang harina, 2 kutsarang keso ginadgad, 1 pc. hilaw na itlog","Step 1: Ipagsama-sama ang ginadgad na kamoteng kahoy, butter, condensed milk, gatas evaporada, keso, asukal, at itlog sa isang mixing bowl at haluing maigi hanggang mapagsamahin ang lahat.

Step 2: Idagdag ang gata ng niyog sa mixing bowl at muling haluin nang maigi. Eto na ang magiging unang batter.

Step 3: Langisan ang baking tray saka ibuhos ang batter nang pantay-pantay.

Step 4: Initin ang oven ng 350 degrees Fahrenheit ng 10 minuto saka ilagay ang baking tray na may batter at i-bake ng 1 oras. Tanggalin mula sa oven at itabi.

Step 5: Habang nagbe-bake, ihanda ang pangalawang batter — topping — sa pamamagitan ng pagsasama-sama ng asukal at harina at ilagay sa mainit na kaserola.

Step 6: Ibuhos ang condensed milk saka haluin nang maigi.

Step 7: Idagdag ang keso habang patuloy na hinahalo.

Step 8: Ibuhos ang gata ng niyog at patuloy na haluin ng 10 minuto hanggang lumapot ang topping mixture.

Step 9: Ibuhos sa ibabaw ng Cassava Cake (baked batter) ang pangalawang batter at ikalat nang pantay.

Step 10: Ihiwalay ang pula ng itlog sa puti. Pahiran ng puti ng itlog ang ibabaw gamit ang basting brush.

Step 11: Ilagay ang Cassava Cake sa oven hanggang maging light brown ang ibabaw.

Step 12: Lagyan ng ginadgad na keso sa ibabaw at ihain habang mainit.",Inihurnong Kakanin / Filipino Kakanin,"Matamis, Creamy, Chewy, Maalat-tamis",Calories: ~380 kcal | Protein: ~6g | Fat: ~18g | Carbs: ~50g | Sugar: ~28g,20,75,8,Moderate,Medium Cost,"Cassava Cake, Kamoteng Kahoy, Filipino, Kakanin, Negosyo, Espesyal, Baked","Meryenda, Dessert","Nostalgic, Fiesta mood, Proud (Filipino kakanin love), Celebratory",
,Buko Pie,"Ang Buko Pie ay isa sa mga pinakasikat na pasalubong at kakanin sa Pilipinas lalo na sa Los Baños, Laguna. Ito ay binubuo ng dalawang layer ng flaky na crust na may creamy at matamis na buko filling sa loob. Ang sariwang buko ay ang pangunahing bituin ng pie na nagbibigay ng natural na tamis at natatanging lasa ng niyog. Ang cornstarch na nilusaw sa sabaw ng buko ay nagpapakapal ng filling para sa perpektong creamy na texture. Ang flaky na crust ay ginagawa gamit ang butter at malamig na tubig na nagbibigay ng malutong at nakakaaliw na kagat. Ito ay isang mahusay na negosyo na may mataas na demand sa buong bansa.","(Crust) 2 tasang all-purpose flour, 1 bar ng butter, 1 kutsaritang asin, 6 hanggang 8 kutsarang malamig na tubig |
(Palaman) 2 tasang buko, 3/4 tasang puting asukal, 1/2 tasang cornstarch na nilusaw sa 1/2 tasang sabaw ng buko, 1/2 tasang gatas evaporada","(Gawin ang Crust)

Step 1: Ipagsama ang harina at asin saka haluin gamit ang balloon whisk hanggang mapagsamahin.

Step 2: Idagdag ang butter saka ihalo gamit ang pastry mixer hanggang maging crumbly ang mixture.

Step 3: Unti-unting idagdag ang 1 kutsara ng malamig na tubig habang hinahalo ang mga sangkap. Kapag halong-halo na ang mga sangkap, ihati ang halo-mixture sa 2 equal parts.

Step 4: Patagin ang bawat dough sa mesa at irolyo gamit ang rolling pin hanggang magkasya ito sa eight o nine inch cake pan. Magwisik ng harina sa mesa para hindi magdikit ang dough.

Step 5: Ilagay ang unang dough sa cake pan bilang base.

Step 6: Itabi ang pangalawang dough at kakailanganin ito pagkataraang ayusin ang palaman sa cake pan.

(Gawin ang Palaman)

Step 7: Initin ang kaserola at ibuhos ang gatas. Bayaang kumulo.

Step 8: Idagdag ang puting asukal saka haluin nang mabuti.

Step 9: Ilagay ang buko at iluto ng 3 minuto sa katamtamang apoy.

Step 10: Ibuhos ang cornstarch na nilusaw sa sabaw ng buko at haluing maigi habang niluluto. Iluto hanggang lumapot ang palaman.

Step 11: Patayin ang apoy at bayaang lumamig ang mixture nang buo bago ilagay sa pie crust.

Step 12: Initin ang oven ng 375 degrees Fahrenheit.

Step 13: Iayos ang nalutong palaman sa cake pan na may crust.

Step 14: Ilagay ang pangalawang crust sa ibabaw ng palaman at selyaduhan gamit ang tinidor sa gilid.

Step 15: Tusuk-tusukin ng tinidor ang pangalawang crust para maging maayos ang porma ng pie pagkaluto.

Step 16: I-bake ng 45 hanggang 55 minuto o hanggang maging kulay golden brown. Pabayaang lumamig at ihain.",Inihurnong Kakanin / Filipino Pie,"Matamis, Creamy, Malutong, Natural na Tamis ng Buko",Calories: ~340 kcal | Protein: ~4g | Fat: ~16g | Carbs: ~46g | Sugar: ~24g,30,60,8,Difficult,Medium Cost,"Buko Pie, Niyog, Filipino, Baked, Pasalubong, Negosyo, Espesyal","Meryenda, Dessert","Nostalgic, Pasalubong happiness, Proud (Los Baños pride), Comforted",
